event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
1309,1,0,0,0,0,5.704659375,145.587,85,26,20,2,2,0,10,0,84,193,0,0,118,177,0,15,6,67,487,163,1606.291659375,0,0,0,0,371,223,46,0,0,5,138,0,43,413,0,58,13,0,0,0
77,1,0,0,0,0,0.7844166666666667,1.465,0,6,6,0,0,0,1,0,0,30,0,0,24,0,0,3,0,4,16,0,92.24941666666666,0,0,0,0,0,0,0,0,0,0,31,0,0,46,0,0,0,0,0,0
49,0,1,0,0,0,1.1469999999999998,1.325,1,2,2,0,0,1,0,0,0,0,0,0,21,0,0,1,2,12,13,0,57.472,0,0,0,0,4,0,0,0,0,0,18,0,0,24,0,3,0,0,0,0
55,0,0,0,0,0,0.985,1.992,0,1,2,0,0,0,12,0,0,0,0,0,12,0,0,26,11,0,6,0,72.977,0,0,0,0,0,0,0,0,0,0,35,0,0,19,0,1,0,0,0,0
115,0,0,0,0,0,1.5212727272727273,2.683,0,5,4,0,0,1,3,0,0,0,0,0,10,0,0,8,26,29,38,5,133.20427272727272,0,0,0,0,0,4,0,0,0,0,41,0,0,60,0,11,0,0,0,0
8,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,3,0,14.882,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,1.8022597402597402,6.745,8,19,15,3,3,0,8,0,0,1,0,0,1,294,0,10,0,1,103,1,475.54725974025973,0,0,0,0,25,0,15,0,0,0,103,0,14,231,0,17,5,0,0,1
3,0,0,1,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,1.3904,2.744,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,42,62.1344,0,0,0,0,0,0,0,0,0,0,15,0,0,39,0,0,0,0,0,0
44,0,0,0,0,0,0.8658000000000001,1.598,1,1,1,1,1,0,7,0,0,24,0,0,0,0,0,11,0,0,9,0,58.4638,0,0,0,0,7,0,0,0,0,0,17,0,0,15,0,4,1,0,0,0
